tensor(0.3560, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.0032, grad_fn=<MeanBackward0>)
tensor(0.1106, grad_fn=<MeanBackward0>)
tensor(0.0164, grad_fn=<MeanBackward0>)
tensor(0.0756, grad_fn=<MeanBackward0>)
tensor(0.3162, grad_fn=<MeanBackward0>)
tensor(0.0914, grad_fn=<MeanBackward0>)
tensor(0.0029, grad_fn=<MeanBackward0>)
tensor(0.0873, grad_fn=<MeanBackward0>)
tensor(0.3180, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.1742, grad_fn=<MeanBackward0>)
tensor(0.0111, grad_fn=<MeanBackward0>)
tensor(0.0422, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.0205, grad_fn=<MeanBackward0>)
tensor(0.0752, grad_fn=<MeanBackward0>)
tensor(0.0068, grad_fn=<MeanBackward0>)
tensor(0.0002, grad_fn=<MeanBackward0>)
tensor(0.0352, grad_fn=<MeanBackward0>)
tensor(0.0330, grad_fn=<MeanBackward0>)
tensor(0.1294, grad_fn=<MeanBackward0>)
tensor(0.0878, grad_fn=<MeanBackward0>)
tensor(0.0775, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.1274, grad_fn=<MeanBackward0>)
tensor(0.0005, grad_fn=<MeanBackward0>)
tensor(0.0722, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.0763, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.0565, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.0418, grad_fn=<MeanBackward0>)
tensor(0.0859, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.1421, grad_fn=<MeanBackward0>)
tensor(0.4593, grad_fn=<MeanBackward0>)
tensor(0.0512, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.0282, grad_fn=<MeanBackward0>)
tensor(0.2551, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.0940, grad_fn=<MeanBackward0>)
tensor(0.2178, grad_fn=<MeanBackward0>)
tensor(0., grad_fn=<MeanBackward0>)
tensor(0.1524, grad_fn=<MeanBackward0>)
tensor(0.0324, grad_fn=<MeanBackward0>)
tensor(0.1334, grad_fn=<MeanBackward0>)
tensor(0.1022, grad_fn=<MeanBackward0>)
tensor(0.1649, grad_fn=<MeanBackward0>)
tensor(0.0676, grad_fn=<MeanBackward0>)
tensor(0.0715, grad_fn=<MeanBackward0>)
tensor(0.3296, grad_fn=<MeanBackward0>)
tensor(0.1119, grad_fn=<MeanBackward0>)
